w_len,history,val_rmse,val_r2,train_rmse,train_r2
26,<keras.callbacks.History object at 0x7fafcc596650>,0.32106828689575195,0.5717355012893677,0.08065545558929443,0.9378360509872437
28,<keras.callbacks.History object at 0x7fafad262610>,0.3187650740146637,0.5748076438903809,0.08363785594701767,0.9355374574661255
28,<keras.callbacks.History object at 0x7faf23f00b90>,0.34125134348869324,0.544813871383667,0.08433352410793304,0.9350012540817261
28,<keras.callbacks.History object at 0x7fb7c8738cd0>,0.3331954777240753,0.5555592775344849,0.09008435904979706,0.9305688738822937
30,<keras.callbacks.History object at 0x7fafae5a31d0>,0.343142032623291,0.5422918796539307,0.023310964927077293,0.9820334315299988
30,<keras.callbacks.History object at 0x7fae1c57fd90>,0.3422965407371521,0.5434196591377258,0.061887226998806,0.9523013830184937
30,<keras.callbacks.History object at 0x7faeb39f2310>,0.3574753999710083,0.5231729745864868,0.06008906662464142,0.953687310218811
32,<keras.callbacks.History object at 0x7fadb01d41d0>,0.34521692991256714,0.5395241975784302,0.08571593463420868,0.933935821056366
32,<keras.callbacks.History object at 0x7fafccb86b50>,0.36569666862487793,0.5122067928314209,0.084104523062706,0.935177743434906
32,<keras.callbacks.History object at 0x7faed9324b90>,0.4196816682815552,0.4401976466178894,0.08617371320724487,0.9335829615592957
34,<keras.callbacks.History object at 0x7fb82455fb90>,0.34036490321159363,0.5459961891174316,0.04268283396959305,0.9671028852462769
34,<keras.callbacks.History object at 0x7faeb339f890>,0.34832292795181274,0.5353811979293823,0.06922505795955658,0.9466458559036255
34,<keras.callbacks.History object at 0x7faf88c39bd0>,0.387075275182724,0.48369044065475464,0.08153507113456726,0.9371581077575684
36,<keras.callbacks.History object at 0x7fae349241d0>,0.4372330605983734,0.4167863130569458,0.09702140092849731,0.9252222776412964
36,<keras.callbacks.History object at 0x7faf8a750b50>,0.32112282514572144,0.5716627240180969,0.046206388622522354,0.9643871784210205
36,<keras.callbacks.History object at 0x7faf286db810>,0.32355648279190063,0.5684164762496948,0.07537635415792465,0.9419048428535461
38,<keras.callbacks.History object at 0x7fad68bc15d0>,0.3239137530326843,0.5679399967193604,0.07096303254365921,0.9453063011169434
38,<keras.callbacks.History object at 0x7faf09fe8b90>,0.37707558274269104,0.49702876806259155,0.07702779024839401,0.9406320452690125
38,<keras.callbacks.History object at 0x7faf88d070d0>,0.40138477087020874,0.4646034240722656,0.05032476782798767,0.9612129926681519
40,<keras.callbacks.History object at 0x7fae35870250>,0.3248305022716522,0.5667171478271484,0.055587489157915115,0.9571568369865417
40,<keras.callbacks.History object at 0x7faf81d4ecd0>,0.3621309995651245,0.516963005065918,0.07875038683414459,0.9393043518066406
40,<keras.callbacks.History object at 0x7fad801d8050>,0.3149438202381134,0.5799047350883484,0.06536636501550674,0.9496198892593384
42,<keras.callbacks.History object at 0x7fad68fdc4d0>,0.37367871403694153,0.5015597939491272,0.08990492671728134,0.9307072162628174
42,<keras.callbacks.History object at 0x7faf798b9750>,0.3719741106033325,0.503833532333374,0.09154157340526581,0.9294458031654358
42,<keras.callbacks.History object at 0x7faf2a8ff550>,0.4098675549030304,0.4532884359359741,0.06223805248737335,0.9520310163497925
44,<keras.callbacks.History object at 0x7fae595aea50>,0.37472617626190186,0.5001626014709473,0.06267020106315613,0.9516978859901428
44,<keras.callbacks.History object at 0x7fb7c879f6d0>,0.3730104863643646,0.5024511218070984,0.07966646552085876,0.9385983347892761
44,<keras.callbacks.History object at 0x7faf2a8fdc50>,0.3047085702419281,0.5935572385787964,0.07087035477161407,0.945377767086029
46,<keras.callbacks.History object at 0x7faf8967dd50>,0.3693828880786896,0.5072898864746094,0.0965295061469078,0.9256013631820679
46,<keras.callbacks.History object at 0x7fafcc16f7d0>,0.3127714693546295,0.5828023552894592,0.06730198860168457,0.9481280446052551
46,<keras.callbacks.History object at 0x7fae36ad2ad0>,0.3320564329624176,0.5570786595344543,0.09663393348455429,0.9255208969116211
